,CustomerID,Has_Transaction_Nov23_May24,Total_Spent_Nov23_May24,Total_Spent_1M,Transaction_Count_1M,Total_Spent_3M,Transaction_Count_3M,Total_Spent_6M,Transaction_Count_6M,Total_Spent_9M,Transaction_Count_9M,Total_Spent_12M,Transaction_Count_12M,Total_Spent_AllTime,Transaction_Count_AllTime,Brand Description_Anthelios,Brand Description_Bundle,Brand Description_Cicaplast,Brand Description_Eau Thermale,Brand Description_Effaclar,Brand Description_Hyalu B5,Brand Description_Lipikar,Brand Description_Niacinamide,Brand Description_Retinol LRP,Brand Description_Serozinc,Brand Description_Toleriane,Brand Description_Uvidea,Brand Description_Vitamin C,Class Description_Anti-Acne,Class Description_Anti-Ageing,Class Description_Body Care,Class Description_Bundle,Class Description_Face Care,Category_Body Care,Category_Face Care,Category_Face Care ,Category_Sun Care,Sub-Category_Body Moisturiser,Sub-Category_Body Wash,Sub-Category_Eye Cream,Sub-Category_Face Cleanser,Sub-Category_Face Mask,Sub-Category_Face Moisturiser,Sub-Category_Face Serum,Sub-Category_Sunscreen,Sub-Category_Tinted Sunscreen,Sub-Category_Toner & Mist,Skin Concern_Acne-Prone Skin,Skin Concern_Anti-Ageing,Skin Concern_Irritation-Prone Skin,Skin Concern_Pigmentation and Dark Spots,Skin Concern_Sun Protection,EAN_TolerianeMoisturiser40ml,EAN_HyaluB5Serum30ml,EAN_EffaclarMoisturiser40ml,EAN_VitaminC10Serum30ml,EAN_RetinolB3Serum30ml,EAN_EffaclarSerum30ml,EAN_AntheliosInvisibleSunscreen50ml,EAN_Pure10NiacinamideSerum,EAN_CicaplastB5BaumeBothSKUs40ml,Post Code,Brand Description_Anthelios_Output,Brand Description_Cicaplast_Output,Brand Description_Effaclar_Output,Brand Description_Hyalu B5_Output,Brand Description_Lipikar_Output,Brand Description_Toleriane_Output,Brand Description_Vitamin C_Output
24,LRP00117,1,90.32,0.0,0,0.0,0,0.0,0,0.0,0,86.32,1,86.32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,4814.0,1,0,1,0,0,0,0
25,LRP00119,1,513.76,99.6,1,217.36,2,217.36,2,217.36,2,217.36,2,217.36,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,2,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,1,0
26,LRP00120,1,134.77,57.52,1,57.52,1,57.52,1,57.52,1,108.37,2,219.17,3,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,2,0,4,2,3,0,1,2,0,0,1,0,1,0,1,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,1,2765.0,1,1,0,0,0,1,0
27,LRP00122,1,210.55,0.0,0,135.9,1,203.35,2,203.35,2,203.35,2,203.35,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2261.0,1,0,0,0,0,0,1
28,LRP00130,1,1068.52,0.0,0,679.8,3,751.7,4,751.7,4,895.5,5,895.5,5,3,0,0,0,5,0,0,3,1,0,0,0,0,5,1,1,0,5,0,6,3,3,0,0,0,0,1,4,4,2,1,0,5,1,0,3,3,0,0,1,0,1,0,1,3,0,,1,1,1,1,1,0,1
29,LRP00132,1,288.3,0.0,0,77.92,1,77.92,1,77.92,1,77.92,1,77.92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2000.0,1,0,1,0,0,0,0
31,LRP00146,1,80.9,0.0,0,0.0,0,67.9,1,67.9,1,67.9,1,67.9,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,0
32,LRP00151,1,100.9,0.0,0,0.0,0,0.0,0,71.9,1,71.9,1,71.9,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0
33,LRP00155,1,47.9,0.0,0,90.76,1,90.76,1,90.76,1,90.76,1,90.76,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,,1,0,1,0,1,0,0
34,LRP00168,1,263.75,64.7,1,211.6,2,283.5,3,391.38,4,477.66,5,545.56,6,6,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,6,0,3,0,6,0,0,0,0,0,1,2,1,5,0,0,3,0,0,6,0,0,0,0,2,0,1,0,0,,1,0,0,0,0,0,1
36,LRP00179,1,74.9,256.8,1,256.8,1,256.8,1,256.8,1,256.8,1,256.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4161.0,0,0,0,0,0,1,0
37,LRP00182,1,267.7,65.52,1,65.52,1,148.42,2,148.42,2,270.27,3,270.27,3,4,0,0,0,0,0,3,0,0,0,0,1,0,0,0,5,0,3,3,0,0,5,3,0,0,0,0,0,0,4,1,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1
38,LRP00186,1,246.3,0.0,0,212.22,1,212.22,1,212.22,1,212.22,1,212.22,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,1
39,LRP00189,1,208.22,252.64,1,252.64,1,252.64,1,321.35,2,321.35,2,321.35,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,,1,1,1,1,0,0,1
40,LRP00195,1,305.02,0.0,0,103.85,1,336.5,3,336.5,3,336.5,3,336.5,3,1,0,0,0,3,0,0,0,0,3,0,0,0,3,0,3,0,1,0,6,0,1,0,0,0,0,0,3,0,0,1,3,6,0,0,0,1,0,0,2,0,0,0,0,0,0,6722.0,1,1,1,0,1,0,0
41,LRP00197,1,387.28,105.9,1,105.9,1,105.9,1,105.9,1,105.9,1,105.9,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,1,1,1,0,0,1,1
42,LRP00198,1,81.52,0.0,0,0.0,0,108.68,1,108.68,1,108.68,1,108.68,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,1,0,0,1,0
43,LRP00208,1,130.85,120.85,1,120.85,1,120.85,1,120.85,1,120.85,1,120.85,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,1,1
44,LRP00211,1,316.7,0.0,0,147.85,1,262.75,2,262.75,2,262.75,2,262.75,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,3,0,0,3,1,0,0,1,2,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,6163.0,1,1,1,1,1,1,1
45,LRP00212,1,259.8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,91.08,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,1
46,LRP00221,1,56.9,0.0,0,0.0,0,78.45,1,78.45,1,78.45,1,78.45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0
47,LRP00227,1,103.85,0.0,0,0.0,0,0.0,0,0.0,0,108.85,1,275.65,3,0,0,0,0,3,0,0,0,0,0,3,0,0,2,0,0,0,4,0,6,0,0,0,0,0,1,0,5,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,,1,1,1,1,1,1,1
48,LRP00231,1,114.28,0.0,0,0.0,0,215.7,3,215.7,3,215.7,3,215.7,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,3,0,0,0,1,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,,1,1,1,1,0,0,1
49,LRP00234,1,177.42,0.0,0,99.85,1,99.85,1,405.87,3,561.72,4,1109.36,8,1,1,5,0,0,1,0,0,1,0,7,0,3,0,4,2,1,12,0,17,0,1,0,0,2,0,2,3,10,1,0,0,0,7,10,1,1,2,1,0,2,1,0,1,0,0,,1,1,1,1,0,1,1
50,LRP00236,1,59.9,0.0,0,0.0,0,0.0,0,0.0,0,71.9,1,71.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0
51,LRP00255,1,686.35,401.51,1,401.51,1,758.06,2,758.06,2,758.06,2,758.06,2,2,0,2,0,0,2,0,0,1,0,12,0,1,0,0,2,0,18,0,18,0,2,0,0,4,4,2,4,2,0,2,2,0,4,14,0,2,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,1,1
52,LRP00259,1,182.75,0.0,0,97.82,2,234.64,4,234.64,4,234.64,4,234.64,4,0,0,0,0,4,0,0,0,0,0,1,0,0,4,0,0,0,1,0,5,0,0,0,0,0,0,0,4,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,1,1
54,LRP00265,1,901.55,319.75,1,584.55,3,679.45,4,679.45,4,679.45,4,679.45,4,0,0,0,0,0,1,0,3,1,0,0,1,1,0,2,0,0,5,0,3,3,1,0,0,1,0,0,1,4,0,1,0,0,3,0,3,1,0,0,0,0,1,0,0,3,0,,1,1,0,1,0,1,1
55,LRP00267,1,120.9,0.0,0,225.84,1,357.68,2,357.68,2,357.68,2,357.68,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,3,1,1,2,0,1,0,0,0,0,1,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,3011.0,1,1,1,1,1,1,1
56,LRP00271,1,131.43,0.0,0,0.0,0,0.0,0,129.75,1,129.75,1,129.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
57,LRP00273,1,116.85,0.0,0,0.0,0,43.9,1,43.9,1,43.9,1,153.7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,0,1
58,LRP00278,1,173.52,50.17,1,120.07,2,120.07,2,120.07,2,120.07,2,225.51,3,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,3,0,4,0,1,0,0,0,2,0,2,0,1,0,0,1,0,3,0,1,1,0,1,0,0,0,0,0,0,,1,1,1,1,0,1,1
59,LRP00279,1,328.69,0.0,0,138.8,1,138.8,1,138.8,1,138.8,1,138.8,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,3,0,4,0,0,0,0,0,1,0,2,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,,1,0,1,0,1,0,1
60,LRP00285,1,48.9,0.0,0,0.0,0,0.0,0,55.08,1,55.08,1,55.08,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,0,1,0,0
61,LRP00288,1,81.9,0.0,0,51.9,1,51.9,1,51.9,1,51.9,1,51.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
62,LRP00291,1,134.82,0.0,0,50.92,1,50.92,1,50.92,1,50.92,1,50.92,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,1,0,1,0,0,1,0
64,LRP00293,1,121.01,0.0,0,0.0,0,48.9,1,48.9,1,48.9,1,48.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4520.0,1,0,0,0,1,1,1
